,name,lastName,uri,worthChange,age,source_x,industry,gender,country,realTimeWorth,source_y,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Self-Made Score,Philanthropy Score,self_made
1265,Hasmukh Chudgar,Chudgar,hasmukh-chudgar,0.0,88.0,pharmaceuticals,Healthcare,M,India,6430.64,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Ahmedabad, India",India,Married,3,,,,True
1266,Dulce Pugliese de Godoy Bueno,de Godoy Bueno,dulce-pugliese-de-godoy-bueno,-51.52,73.0,"hospitals, health care",Healthcare,F,Brazil,1480.637,"['hospitals', ' health care', ' Self Made']","hospitals, health care, Self Made","Sao Paulo, Brazil",Brazil,Divorced,1,"Doctorate, The University of Texas at Austin; Medical Doctor, Universidade Federal do Rio de Janeiro",,,True
1267,Murali Divi,Divi,murali-divi,-51.08,70.0,pharmaceuticals,Healthcare,M,India,8625.068,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Hyderabad, India",India,Married,2,,,,True
1268,"Amos Hostetter, Jr.",Hostetter,amos-hostetter-jr,-10.562,84.0,cable television,Media & Entertainment,M,United States,3768.719,"['cable television', ' Self Made']","cable television, Self Made","Boston, Massachusetts",United States,Married,3,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",7,5,True
1269,Montri Jiaravanont,Jiaravanont,montri-jiaravanont,-38.789,90.0,diversified,Diversified,M,Thailand,4526.734,['diversified'],diversified,"Bangkok, Thailand",Thailand,,,,,,False
1270,Min Kao,Kao,min-kao,-67.42,72.0,navigation equipment,Technology,M,United States,5031.555,"['navigation equipment', ' Self Made']","navigation equipment, Self Made","Leawood, Kansas",United States,Married,2,"Bachelor of Arts/Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville",8,1,True
1271,Igor Kesaev,Kesaev,igor-kesaev,0.0,55.0,"tobacco distribution, retail",Fashion & Retail,M,Russia,4054.273,"['tobacco distribution', ' retail', ' Self Made']","tobacco distribution, retail, Self Made","Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Moscow Institute of International Relations",,,True
1272,Patrick Lee,Lee,patrick-lee,-20.133,79.0,paper,Manufacturing,M,Hong Kong,4390.482,"['paper', ' Self Made']","paper, Self Made","Hong Kong, Hong Kong",Hong Kong,Married,5,,,,True
1273,Douglas Leone,Leone,douglas-leone,-99.105,64.0,venture capital,Finance & Investments,M,United States,8117.354,"['venture capital', ' Self Made']","venture capital, Self Made","Atherton, California",United States,Married,4,"Master of Science, Columbia University; Bachelor of Arts/Science, Cornell University; Master of Business Administration, MIT Sloan School of Management",9,2,True
1274,Lin Bin,Lin,lin-bin,40.846,53.0,smartphones,Technology,M,United States,6736.364,"['smartphones', ' Self Made']","smartphones, Self Made","Shenzhen, China",United States,,,"Master, Drexel University; Bachelor of Arts/Science, Sun Yat-sen University",8,,True
1275,Gabe Newell,Newell,gabe-newell,0.0,59.0,videogames,Gambling & Casinos,M,United States,3858.6,"['videogames', ' Self Made']","videogames, Self Made","Seattle, Washington",United States,Divorced,2,"Drop Out, Harvard University",8,,True
1276,Prajogo Pangestu,Pangestu,prajogo-pangestu,78.18,77.0,petrochemicals,Diversified,M,Indonesia,5513.692,['petrochemicals'],petrochemicals,"Jakarta, Indonesia",Indonesia,Married,3,,,,False
1277,Anthony Pritzker,Pritzker,anthony-pritzker,0.0,60.0,"hotels, investments",Service,M,United States,3740.0,"['hotels', ' investments']","hotels, investments","Los Angeles, California",United States,Married,6,"Bachelor of Arts/Science, Dartmouth College",3,2,False
1278,Randall Rollins,Rollins,randall-rollins,,90.0,pest control,Service,M,United States,,['pest control'],pest control,,United States,,5,"Bachelor of Arts/Science, University of Delaware",3,1,False
1279,Henry Samueli,Samueli,henry-samueli,-47.73,67.0,semiconductors,Technology,M,United States,7398.438,"['semiconductors', ' Self Made']","semiconductors, Self Made","Newport Beach, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",9,1,True
1280,Charles Simonyi,Simonyi,charles-simonyi,-28.325,73.0,Microsoft,Technology,M,United States,6590.466,"['Microsoft', ' Self Made']","Microsoft, Self Made","Medina, Washington",United States,Married,2,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, Berkeley",6,2,True
1281,Paul Singer,Singer,paul-singer,0.0,77.0,hedge funds,Finance & Investments,M,United States,4290.0,"['hedge funds', ' Self Made']","hedge funds, Self Made","New York, New York",United States,In Relationship,,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester",8,2,True
1282,David Steward,Steward,david-steward,0.0,70.0,IT provider,Technology,M,United States,5812.93,"['IT provider', ' Self Made']","IT provider, Self Made","St. Louis, Missouri",United States,Married,,"Bachelor of Arts/Science, Central Missouri State University",10,2,True
1283,Teh Hong Piow,Teh,teh-hong-piow,11.92,91.0,banking,Finance & Investments,M,Malaysia,5114.764,"['banking', ' Self Made']","banking, Self Made","Kuala Lumpur, Malaysia",Malaysia,Married,4,"Bachelor of Arts/Science, University of Malaya",,,True
1284,Frank VanderSloot,VanderSloot,frank-vandersloot,0.0,73.0,"nutrition, wellness products",Fashion & Retail,M,United States,3192.685,"['nutrition', ' wellness products', ' Self Made']","nutrition, wellness products, Self Made","Idaho Falls, Idaho",United States,Married,14,"Bachelor of Arts/Science, Brigham Young University",10,2,True
1285,M.A. Yusuff Ali,Yusuff Ali,ma-yusuff-ali,0.0,66.0,retail,Fashion & Retail,M,India,5022.558,"['retail', ' Self Made']","retail, Self Made","Abu Dhabi, United Arab Emirates",India,Married,3,,,,True
1286,Zhang Hongwei,Zhang,zhang-hongwei,119.262,66.0,"oil, banking",Diversified,M,China,2013.116,"['oil', ' banking', ' Self Made']","oil, banking, Self Made","Beijing, China",China,Married,3,"Bachelor of Arts/Science, Harbin Engineering University; Master of Science, Harbin Institute of Technology",,,True
1287,Zhang Xin & Pan Shiyi,Zhang Xin & Pan,zhang-xin-pan-shiyi,-4.263,56.0,real estate,Real Estate,F,China,3084.635,"['real estate', ' Self Made']","real estate, Self Made","Beijing, China",China,Married,2,,,,True
1288,Kapil & Rahul Bhatia,Bhatia,kapil-rahul-bhatia,60.768,,airlines,Service,M,India,5356.7,"['airlines', ' Self Made']","airlines, Self Made","Delhi, India",India,,,"Bachelor of Science in Engineering, University of Waterloo",,,True
1289,Richard Branson,Branson,richard-branson,-35.73,71.0,Virgin,Diversified,M,United Kingdom,3886.671,"['Virgin', ' Self Made']","Virgin, Self Made","Necker Island, British Virgin Islands",United Kingdom,Married,2,"Drop Out, High School",,,True
1290,Rick Caruso,Caruso,rick-caruso,0.0,62.0,real estate,Real Estate,M,United States,4341.15,"['real estate', ' Self Made']","real estate, Self Made","Los Angeles, California",United States,Married,4,"Doctor of Jurisprudence, Pepperdine University; Bachelor of Arts/Science, University of Southern California",7,2,True
1291,Bubba Cathy,Cathy,bubba-cathy,0.0,67.0,Chick-fil-A,Food & Beverage,M,United States,5556.964,['Chick-fil-A'],Chick-fil-A,"Atlanta, Georgia",United States,Married,6,"Bachelor of Arts/Science, Samford University",4,1,False
1292,Dan Cathy,Cathy,dan-cathy,0.0,68.0,Chick-fil-A,Food & Beverage,M,United States,5556.964,['Chick-fil-A'],Chick-fil-A,"Atlanta, Georgia",United States,Married,2,"Bachelor of Arts/Science, Georgia Southern University",4,1,False
1293,Mahendra Choksi,Choksi,mahendra-choksi,139.108,80.0,paints,Manufacturing,M,India,6504.115,['paints'],paints,"Mumbai, India",India,Married,2,"Bachelor of Engineering, University of Mumbai; Master of Science, University of Mumbai",,,False
1294,Dong Wei,Dong,dong-wei-2,53.138,50.0,pharmaceuticals,Healthcare,M,China,3463.234,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Lianyungang, China",China,,,,,,True
1295,Pavel Durov,Durov,pavel-durov,0.0,37.0,messaging app,Technology,M,Russia,17236.0,"['messaging app', ' Self Made']","messaging app, Self Made","Dubai, United Arab Emirates",Russia,Single,2,"Master of Science, Saint Petersburg State University",,,True
1296,Juan Carlos Escotet,Escotet,juan-carlos-escotet,0.0,62.0,banking,Finance & Investments,M,Venezuela,3030.808,"['banking', ' Self Made']","banking, Self Made","A Coruña, Spain",Venezuela,Married,4,"Master, University of Miami",,,True
1297,Sergei Galitsky,Galitsky,sergei-galitsky,8.34,54.0,retail,Fashion & Retail,M,Russia,3496.889,"['retail', ' Self Made']","retail, Self Made","Krasnodar, Russia",Russia,Married,1,"Bachelor of Arts/Science, Kuban State University",,,True
1298,Jaime Gilinski Bacal,Gilinski Bacal,jaime-gilinski-bacal,-0.573,63.0,banking,Finance & Investments,M,Colombia,3692.088,['banking'],banking,"London, United Kingdom",Colombia,Married,4,"Master of Business Administration, Harvard Business School",,,False
1299,Pansy Ho,Ho,pansy-ho,-18.538,59.0,casinos,Gambling & Casinos,F,Hong Kong,3180.215,['casinos'],casinos,"Hong Kong, Hong Kong",Hong Kong,Divorced,,"Bachelor of Arts/Science, University of Santa Clara",,,False
1300,Huang Rulun,Huang,huang-rulun,0.0,70.0,real estate,Real Estate,M,China,3051.72,"['real estate', ' Self Made']","real estate, Self Made","Beijing, China",China,Married,2,,,,True
1301,Daniel Kretinsky,Kretinsky,daniel-kretinsky,0.0,46.0,"energy, investments",Energy,M,Czechia,3881.057,"['energy', ' investments', ' Self Made']","energy, investments, Self Made","Prague, Czechia",Czechia,In Relationship,1,"Law Degree, Masaryk University",,,True
1302,Miguel Krigsner,Krigsner,miguel-krigsner,0.0,71.0,cosmetics,Fashion & Retail,M,Brazil,2954.048,"['cosmetics', ' Self Made']","cosmetics, Self Made","Sao Jose dos Pinhais, Brazil",Brazil,Married,2,,,,True
1303,Ludwig Merckle,Merckle,ludwig-merckle,-56.077,56.0,pharmaceuticals,Finance & Investments,M,Germany,5985.106,['pharmaceuticals'],pharmaceuticals,"Ulm, Germany",Germany,Married,2,,,,False
1304,Akira Mori,Mori,akira-mori,0.0,85.0,real estate,Real Estate,M,Japan,3710.135,['real estate'],real estate,"Tokyo, Japan",Japan,Married,3,,,,False
1305,Michael Moritz,Moritz,michael-moritz,-120.32,67.0,venture capital,Technology,M,United States,7164.499,"['venture capital', ' Self Made']","venture capital, Self Made","San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Christ Church, Oxford University; Master of Business Administration, University of Pennsylvania, The Wharton School",8,2,True
1306,J.B. Pritzker,Pritzker,jb-pritzker,0.0,56.0,"hotels, investments",Finance & Investments,M,United States,3589.0,"['hotels', ' investments']","hotels, investments","Springfield, Illinois",United States,Married,2,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, Northwestern University",3,3,False
1307,"Enrique Razon, Jr.",Razon,enrique-razon-jr,27.271,61.0,ports,Logistics,M,Philippines,6477.719,['ports'],ports,"Manila, Philippines",Philippines,Married,2,,,,False
1308,Thomas Schmidheiny,Schmidheiny,thomas-schmidheiny,-36.741,75.0,cement,Construction & Engineering,M,Switzerland,4484.189,['cement'],cement,"Jona, Switzerland",Switzerland,Married,4,"Doctorate, Tufts University; Bachelor of Arts/Science, Zurich Polytechnic",,,False
1309,Richard Schulze,Schulze,richard-schulze,-60.748,80.0,Best Buy,Fashion & Retail,M,United States,4554.605,"['Best Buy', ' Self Made']","Best Buy, Self Made","Bonita Springs, Florida",United States,"Widowed, Remarried",10,"Diploma, High School",8,2,True
1310,Lynn Schusterman,Schusterman,lynn-schusterman,0.0,82.0,"oil & gas, investments",Energy,F,United States,3500.0,"['oil & gas', ' investments']","oil & gas, investments","Tulsa, Oklahoma",United States,Widowed,3,"Drop Out, University of Miami",1,5,False
1311,Romesh T. Wadhwani,Wadhwani,romesh-t-wadhwani,0.0,74.0,software,Technology,M,United States,3500.3,"['software', ' Self Made']","software, Self Made","Palo Alto, California",United States,Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay",8,2,True
1312,Zhang Jin,Zhang,zhang-jin,0.0,50.0,diversified,Diversified,M,China,3855.731,"['commodities', ' Self Made']","commodities, Self Made","Guangzhou, China",China,,,"Master of Arts, Hong Kong Polytechnic University; EMBA, Peking University",,,True
1313,Majid Al Futtaim,Al Futtaim,majid-al-futtaim,0.0,,"real estate, retail",Real Estate,M,United Arab Emirates,4300.384,"['real estate', ' retail']","real estate, retail","Dubai, United Arab Emirates",United Arab Emirates,Married,,,,,False
1314,Mohed Altrad,Altrad,mohed-altrad,0.0,73.0,"scaffolding, cement mixers",Construction & Engineering,M,France,3259.485,"['scaffolding', ' cement mixers', ' Self Made']","scaffolding, cement mixers, Self Made","Montpellier, France",France,In Relationship,5,,,,True
1315,Shari Arison,Arison,shari-arison,-143.345,64.0,Carnival Cruises,Service,F,Israel,4503.405,['Carnival Cruises'],Carnival Cruises,"Tel Aviv, Israel",Israel,Divorced,4,"Drop Out, Miami Dade College",,,False
1316,John Arnold,Arnold,john-arnold,0.0,47.0,hedge funds,Finance & Investments,M,United States,3285.0,"['hedge funds', ' Self Made']","hedge funds, Self Made","Houston, Texas",United States,Married,2,"Bachelor of Arts/Science, Vanderbilt University",8,5,True
1317,John Catsimatidis,Catsimatidis,john-catsimatidis,0.0,73.0,"oil, real estate",Energy,M,United States,3700.0,"['oil', ' real estate', ' Self Made']","oil, real estate, Self Made","New York, New York",United States,Married,2,"Drop Out, New York University",10,1,True
1318,Chu Mang Yee,Chu,chu-mang-yee,-491.914,61.0,real estate,Real Estate,M,China,5482.287,"['real estate', ' Self Made']","real estate, Self Made","Guangzhou, China",China,Married,1,,,,True
1319,Dan Friedkin,Friedkin,dan-friedkin,0.0,56.0,Toyota dealerships,Automotive,M,United States,4609.056,['Toyota dealerships'],Toyota dealerships,"Houston, Texas",United States,Married,4,"Bachelor of Arts/Science, Georgetown University; Master of Business Administration, Rice University",4,4,False
1320,H. Fisk Johnson,Johnson,h-fisk-johnson,-3.005,63.0,cleaning products,Manufacturing,M,United States,3670.174,['cleaning products'],cleaning products,"Racine, Wisconsin",United States,Divorced,1,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",3,2,False
1321,S. Curtis Johnson,Johnson,s-curtis-johnson,-3.005,66.0,cleaning products,Manufacturing,M,United States,3692.294,['cleaning products'],cleaning products,"Racine, Wisconsin",United States,Married,4,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management",1,2,False
1322,Helen Johnson-Leipold,Johnson-Leipold,helen-johnson-leipold,-3.005,64.0,cleaning products,Manufacturing,F,United States,3692.294,['cleaning products'],cleaning products,"Racine, Wisconsin",United States,Married,5,"Bachelor of Arts/Science, Cornell University",3,2,False
1323,Vikram Lal,Lal,vikram-lal,,79.0,motorcycles,Automotive,M,India,,['motorcycles'],motorcycles,"Delhi, India",India,Married,3,,,,False
1324,Jane Lauder,Lauder,jane-lauder,-6.189,48.0,Estée Lauder,Fashion & Retail,F,United States,7331.431,['Estée Lauder'],Estée Lauder,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Stanford University",4,,False
1325,Lin Xiucheng,Lin,lin-xiucheng,282.816,66.0,electronics,Technology,M,China,6043.071,"['electronics', ' Self Made']","electronics, Self Made","Xiamen, China",China,Married,4,"Bachelor of Arts/Science, Xiamen University",,,True
1326,Mohamed Mansour,Mansour,mohamed-mansour,-0.069,73.0,diversified,Diversified,M,Egypt,2485.55,"['diversified', ' Self Made']","diversified, Self Made","Cairo, Egypt",Egypt,Married,2,"Master of Business Administration, Auburn University",,,True
1327,Winifred J. Marquart,Marquart,winifred-j-marquart,-3.005,62.0,cleaning products,Manufacturing,F,United States,3692.294,['cleaning products'],cleaning products,"Virginia Beach, Virginia",United States,Married,4,"Drop Out, Cornell University",2,2,False
1328,John Middleton,Middleton,john-middleton,0.0,66.0,tobacco,Food & Beverage,M,United States,3391.0,['tobacco'],tobacco,"Bryn Mawr, Pennsylvania",United States,Married,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",5,2,False
1329,Arnon Milchan,Milchan,arnon-milchan,0.0,77.0,movie making,Media & Entertainment,M,Israel,3685.859,"['movie making', ' Self Made']","movie making, Self Made","Tel Aviv, Israel",Israel,Married,4,,,,True
1330,Arturo Moreno,Moreno,arturo-moreno,0.0,75.0,"billboards, Anaheim Angels",Sports,M,United States,3613.05,"['billboards', ' Anaheim Angels', ' Self Made']","billboards, Anaheim Angels, Self Made","Phoenix, Arizona",United States,Married,3,"Bachelor of Arts/Science, University of Arizona",8,2,True
1331,Michael Otto,Otto,michael-otto,0.0,78.0,"retail, real estate",Fashion & Retail,M,Germany,8511.219,"['retail', ' real estate']","retail, real estate","Hamburg, Germany",Germany,Married,2,"Doctorate, University of Hamburg; Doctorate, University of Munich",,,False
1332,Alexander Ponomarenko,Ponomarenko,alexander-ponomarenko,0.0,57.0,"real estate, airport",Logistics,M,Russia,3706.592,"['real estate', ' airport', ' Self Made']","real estate, airport, Self Made","Moscow, Russia",Russia,Married,3,"Master of Science, Russian State Academy of Management; Bachelor of Arts/Science, Simferopol State University",,,True
1333,Dirk Rossmann,Rossmann,dirk-rossmann,1.792,75.0,drugstores,Fashion & Retail,M,Germany,3548.735,"['drugstores', ' Self Made']","drugstores, Self Made","Lower-Saxony, Germany",Germany,Married,2,,,,True
1334,Shi Yonghong,Shi,shi-yonghong,-13.953,52.0,restaurants,Food & Beverage,M,China,4901.994,"['restaurants', ' Self Made']","restaurants, Self Made","Chengdu, China",China,Married,,,,,True
1335,Alexander Skorobogatko,Skorobogatko,alexander-skorobogatko,0.0,54.0,"real estate, airport",Logistics,M,Russia,3706.592,"['real estate', ' airport', ' Self Made']","real estate, airport, Self Made","Moscow, Russia",Russia,Divorced,3,"Master of Science, Plekhanov Russian University of Economics",,,True
1336,Anthony von Mandl,von Mandl,anthony-von-mandl,0.0,,alcoholic beverages,Food & Beverage,M,Canada,7536.708,"['alcoholic beverages', ' Self Made']","alcoholic beverages, Self Made","Vancouver, Canada",Canada,,,"Bachelor of Arts/Science, University of British Columbia",8,,True
1337,Meg Whitman,Whitman,meg-whitman,-83.749,65.0,eBay,Technology,F,United States,4924.663,"['eBay', ' Self Made']","eBay, Self Made","Los Angeles, California",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Princeton University",6,2,True
1338,Christoph Zeller,Zeller,christoph-zeller,0.0,64.0,dental implants,Healthcare,M,Liechtenstein,5571.816,['dental implants'],dental implants,"Vaduz, Liechtenstein",Liechtenstein,Married,,,,,False
1339,Andrej Babis,Babis,andrej-babis,0.0,67.0,agriculture,Food & Beverage,M,Czechia,3286.245,"['agriculture', ' Self Made']","agriculture, Self Made","Prague, Czechia",Czechia,Married,4,"Master, University of Economics in Bratislava (UEB)",,,True
1340,Gayle Benson,Benson,gayle-benson,0.0,74.0,pro sports teams,Sports,F,United States,3829.03,['pro sports teams'],pro sports teams,"New Orleans, Louisiana",United States,Widowed,,,1,2,False
1341,Bert Beveridge,Beveridge,bert-beveridge,0.0,59.0,vodka,Food & Beverage,M,United States,5006.481,"['vodka', ' Self Made']","vodka, Self Made","Austin, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Texas at Austin",8,,True
1342,Charles Cohen,Cohen,charles-cohen,0.0,69.0,real estate,Real Estate,M,United States,3584.48,['real estate'],real estate,"New York, New York",United States,Married,4,"Doctor of Jurisprudence, Brooklyn Law School; Bachelor of Arts/Science, Tufts University",5,1,False
1343,John Collison,Collison,john-collison,0.0,31.0,payments software,Technology,M,Ireland,9540.0,"['payments software', ' Self Made']","payments software, Self Made","San Francisco, California",Ireland,Single,,"Drop Out, Harvard University",,,True
1344,Patrick Collison,Collison,patrick-collison,0.0,33.0,payment software,Technology,M,Ireland,9540.0,"['payment software', ' Self Made']","payment software, Self Made","San Francisco, California",,,,"Drop Out, Massachusetts Institute of Technology",,,True
1345,Leon G. Cooperman,Cooperman,leon-g-cooperman,0.0,78.0,hedge funds,Finance & Investments,M,United States,2500.0,"['hedge funds', ' Self Made']","hedge funds, Self Made","Boca Raton, Florida",United States,Married,2,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Hunter College",9,3,True
1346,Yakir Gabay,Gabay,yakir-gabay,0.0,55.0,real estate,Real Estate,M,Cyprus,4095.155,"['real estate', ' Self Made']","real estate, Self Made","London, United Kingdom",Cyprus,,,,,,True
1347,Tom Golisano,Golisano,tom-golisano,-25.743,80.0,payroll services,Service,M,United States,5424.862,"['payroll services', ' Self Made']","payroll services, Self Made","Naples, Florida",United States,Married,2,"Associate in Arts/Science, SUNY Tech Alfred",9,3,True
1348,Jonathan Gray,Gray,jonathan-gray,-57.175,51.0,investments,Finance & Investments,M,United States,7553.901,"['investments', ' Self Made']","investments, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",6,2,True
1349,Martin Haefner,Haefner,martin-haefner,-14.151,67.0,"software, investments",Technology,M,Switzerland,4071.942,"['software', ' investments']","software, investments","Zurich, Switzerland",Switzerland,Married,,,,,False
1350,"Jeremy Jacobs, Sr.",Jacobs,jeremy-jacobs-sr,0.0,81.0,food service,Service,M,United States,2769.523,['food service'],food service,"East Aurora, New York",United States,Married,6,"Bachelor of Arts/Science, SUNY Buffalo",5,2,False
1351,Jiang Bin,Jiang,jiang-bin,-116.646,55.0,acoustic components,Technology,M,China,9253.439,"['acoustic components', ' Self Made']","acoustic components, Self Made","Weifang, China",China,Married,1,"Bachelor of Arts/Science, Beijing University of Aeronautics and Astronautics; Master of Business Administration, Tsinghua University",,,True
1352,"Rupert Johnson, Jr.",Johnson,rupert-johnson-jr,-9.275,81.0,money management,Finance & Investments,M,United States,4871.676,['money management'],money management,"Burlingame, California",United States,Married,,"Bachelor of Arts/Science, Washington & Lee University",4,2,False
1353,Daryl Katz,Katz,daryl-katz,-1.444,60.0,pharmacies,Diversified,M,Canada,3596.37,"['pharmacies', ' Self Made']","pharmacies, Self Made","Edmonton, Canada",Canada,Married,2,"Bachelor of Arts/Science, University of Alberta; Doctor of Jurisprudence, University of Alberta",,,True
1354,Ken Langone,Langone,ken-langone,-3.694,86.0,investments,Finance & Investments,M,United States,6808.308,"['investments', ' Self Made']","investments, Self Made","Sands Point, New York",United States,Married,3,"Bachelor of Arts/Science, Bucknell University; Master of Business Administration, Leonard N. Stern School of Business",9,3,True
1355,Guenther Lehmann,Lehmann,guenther-lehmann,,,drugstores,Fashion & Retail,M,Germany,,"['drugstores', ' Self Made']","drugstores, Self Made","Karlsruhe, Germany",Germany,,1,,,,True
1356,James Leprino,Leprino,james-leprino,0.0,84.0,cheese,Food & Beverage,M,United States,3366.555,['cheese'],cheese,"Indian Hills, Colorado",United States,Married,2,,5,1,False
1357,Li Haiyan,Li,li-haiyan,-7.373,,restaurants,Food & Beverage,F,China,2243.278,"['restaurants', ' Self Made']","restaurants, Self Made","Chengdu, China",China,Married,,,,,True
1358,Ronald McAulay,McAulay,ronald-mcaulay,1.627,86.0,energy,Energy,M,Hong Kong,3246.789,['energy'],energy,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Master of Arts, University of Glasgow",,,False
1359,Masahiro Miki,Miki,masahiro-miki,-49.764,66.0,shoes,Fashion & Retail,M,Japan,3204.723,"['shoes', ' Self Made']","shoes, Self Made","Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Science, Toho Gakuen tanki University",,,True
1360,John Morris,Morris,john-morris,0.0,73.0,sporting goods retail,Fashion & Retail,M,United States,7086.084,"['sporting goods retail', ' Self Made']","sporting goods retail, Self Made","Springfield, Missouri",United States,Married,4,"Bachelor of Arts/Science, Drury University",9,2,True
1361,Hans Georg Naeder,Naeder,hans-georg-naeder,0.0,60.0,prosthetics,Manufacturing,M,Germany,3745.467,['prosthetics'],prosthetics,"Duderstadt, Germany",Germany,Divorced,2,,,,False
1362,Paolo & Gianfelice Mario Rocca,Rocca,paolo-gianfelice-mario-rocca,4.476,,pipe manufacturing,Metals & Mining,M,Italy,3777.766,['pipe manufacturing'],pipe manufacturing,"Buenos Aires, Argentina",Italy,,,"Certificate, Harvard Business School",,,False
1363,Marc Rowan,Rowan,marc-rowan,-20.048,59.0,private equity,Finance & Investments,M,United States,5025.542,"['private equity', ' Self Made']","private equity, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",8,2,True
1364,Yitzhak Tshuva,Tshuva,yitzhak-tshuva,-6.823,73.0,real estate,Real Estate,M,Israel,3610.938,"['real estate', ' Self Made']","real estate, Self Made","Netanya, Israel",Israel,Married,5,,,,True
1365,Tung Chee Chen,Tung,tung-chee-chen,-11.58,78.0,shipping,Logistics,M,Hong Kong,3327.632,['shipping'],shipping,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Master of Science, Massachusetts Institute of Technology; Bachelor of Arts/Science, University of Liverpool",,,False
1366,Chip Wilson,Wilson,chip-wilson,-87.036,64.0,Lululemon,Fashion & Retail,M,Canada,6104.993,"['Lululemon', ' Self Made']","Lululemon, Self Made","Vancouver, Canada",Canada,Married,5,"Bachelor of Arts/Science, University of Calgary",,,True
1367,Xu Jingren,Xu,xu-jingren,0.0,77.0,pharmaceuticals,Healthcare,M,China,4134.007,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Taizhou, China",China,Married,2,,,,True
1368,Denise York,York,denise-york,0.0,71.0,San Francisco 49ers,Sports,F,United States,3972.88,['San Francisco 49ers'],San Francisco 49ers,"Youngstown, Ohio",United States,Married,4,,3,1,False
1369,Zhan Micree,Zhan,zhan-micree,,42.0,Cryptocurrency mining chips,Technology,M,China,,"['Cryptocurrency mining chips', ' Self Made']","Cryptocurrency mining chips, Self Made","Beijing, China",China,Single,,"Bachelor of Science in Engineering, Shandong University; Master of Science in Engineering, Chinese Academy of Sciences",,,True
1370,Zhang Wenzhong,Zhang,zhang-wenzhong,0.0,59.0,supermarkets,Fashion & Retail,M,China,4016.054,"['supermarkets', ' Self Made']","supermarkets, Self Made","Beijing, China",China,,,,,,True
1371,Anil Agarwal,Agarwal,anil-agarwal,119.487,68.0,"mining, metals",Metals & Mining,M,India,3897.67,"['mining', ' metals', ' Self Made']","mining, metals, Self Made","London, United Kingdom",India,Married,2,,,,True
1372,Igor Altushkin,Altushkin,igor-altushkin,0.0,51.0,metals,Metals & Mining,M,Russia,6387.469,"['metals', ' Self Made']","metals, Self Made","Yekaterinburg, Russia",Russia,Married,6,"Bachelor of Arts/Science, Ekaterinburg Institute of Economics",,,True
1373,Alain Bouchard,Bouchard,alain-bouchard,,72.0,retail,Fashion & Retail,M,Canada,,"['retail', ' Self Made']","retail, Self Made","Montreal, Canada",Canada,Married,4,,,,True
1374,Dmitry Bukhman,Bukhman,dmitry-bukhman-1,0.0,36.0,online games,Media & Entertainment,M,Russia,7861.0,"['online games', ' Self Made']","online games, Self Made","London, United Kingdom",Russia,Married,3,"Master of Science, Vologda State Pedagogical University",,,True
1375,Igor Bukhman,Bukhman,igor-bukhman,0.0,39.0,online games,Media & Entertainment,M,Russia,7861.0,"['online games', ' Self Made']","online games, Self Made","London, United Kingdom",Russia,Married,3,"Master of Science, Vologda State Pedagogical University",,,True
1376,John Paul DeJoria,DeJoria,john-paul-dejoria,0.0,77.0,"hair products, tequila",Fashion & Retail,M,United States,2750.55,"['hair products', ' tequila', ' Self Made']","hair products, tequila, Self Made","Austin, Texas",United States,Married,6,"Diploma, High School",10,1,True
