,name,lastName,uri,worthChange,age,source_x,industry,gender,country,realTimeWorth,source_y,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Self-Made Score,Philanthropy Score,self_made
814,Hinduja brothers,Hinduja,hinduja,8.13,,diversified,Diversified,M,United Kingdom,13894.716,['diversified'],diversified,"London, United Kingdom",United Kingdom,,,,,,False
815,Heinz Hermann Thiele,Thiele,heinz-hermann-thiele,,80.0,brakes,Construction & Engineering,M,Germany,,"['brakes', ' Self Made']","brakes, Self Made",,Germany,,2,"LLM, University of Munich",,,True
816,Charlene de Carvalho-Heineken,de Carvalho-Heineken,charlene-de-carvalho-heineken,109.918,67.0,Heineken,Food & Beverage,F,Netherlands,16308.986,['Heineken'],Heineken,"London, United Kingdom",Netherlands,Married,5,"Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden",,,False
817,Emmanuel Besnier,Besnier,emmanuel-besnier,0.0,51.0,cheese,Food & Beverage,M,France,17289.973,['cheese'],cheese,"Laval, France",France,,,,,,False
818,Andrey Melnichenko,Melnichenko,andrey-melnichenko,-1.05,49.0,"coal, fertilizers",Energy,M,Russia,25748.765,"['coal', ' fertilizers', ' Self Made']","coal, fertilizers, Self Made","Moscow, Russia",Russia,Married,2,"Master of Science, Plekhanov Russian University of Economics",,,True
819,Li Shufu,Li,li-shufu,336.022,58.0,automobiles,Automotive,M,China,22354.801,"['automobiles', ' Self Made']","automobiles, Self Made","Hangzhou, China",China,Married,,"Master of Science, Yanshan University",,,True
820,Hasso Plattner,Plattner,hasso-plattner,3.295,77.0,software,Technology,M,Germany,8564.996,"['software', ' Self Made']","software, Self Made","Heidelberg, Germany",Germany,Married,2,"Master of Science, University of Karlsruhe",,,True
821,Liu Yonghao,Liu,liu-yonghao,119.714,70.0,agribusiness,Service,M,China,8878.411,"['agribusiness', ' Self Made']","agribusiness, Self Made","Chengdu, China",China,Married,2,,,,True
822,Stefan Quandt,Quandt,stefan-quandt,-166.043,55.0,BMW,Automotive,M,Germany,23415.69,['BMW'],BMW,"Frankfurt, Germany",Germany,Married,1,"Associate in Arts/Science, Technical University of Karlsruhe",,,False
823,Ken Griffin,Griffin,ken-griffin,0.0,53.0,hedge funds,Finance & Investments,M,United States,21005.457,"['hedge funds', ' Self Made']","hedge funds, Self Made","Chicago, Illinois",United States,Divorced,3,"Bachelor of Arts/Science, Harvard University",8,3,True
824,David Tepper,Tepper,david-tepper,0.0,64.0,hedge funds,Finance & Investments,M,United States,15800.0,"['hedge funds', ' Self Made']","hedge funds, Self Made","Palm Beach, Florida",United States,Married,3,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh",8,2,True
825,Wu Yajun,Wu,wu-yajun,215.711,57.0,real estate,Real Estate,F,China,16020.554,"['real estate', ' Self Made']","real estate, Self Made","Beijing, China",China,Divorced,1,"Bachelor of Engineering, Northwestern Polytechnical University",,,True
826,Kwong Siu-hing,Kwong,kwong-siu-hing,34.68,92.0,real estate,Real Estate,F,Hong Kong,12341.406,['real estate'],real estate,"Hong Kong, Hong Kong",Hong Kong,Widowed,4,,,,False
827,Shiv Nadar,Nadar,shiv-nadar,-86.912,76.0,software services,Technology,M,India,28142.931,"['software services', ' Self Made']","software services, Self Made","Delhi, India",India,Married,1,"Bachelor of Arts/Science, PSG College of Technology",,,True
