,name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage,position,rank,worth,title,government,pay,managementAssets
2289,Manuel Lao Hernandez,Lao Hernandez,manuel-lao-hernandez,no-pic,0.0,77.0,casinos,Gambling & Casinos,M,Spain,1639104902515,,,1470.466,2102.0,2102.0,//specials-images.forbesimg.com/imageserve/5e5d77047a0098000734b918/416x416.jpg?background=000000&cropX1=124&cropX2=1175&cropY1=61&cropY2=1112,1566.0,1513.0,1400.0,,,,
2290,Louis Le Duff,Le Duff,louis-le-duff,louis-le-duff,0.0,75.0,bakeries,Food & Beverage,M,France,1639104902515,,,2775.52,1203.0,1203.0,//specials-images.forbesimg.com/imageserve/56c7b8d6e4b062f6b59a23be/416x416.jpg?background=000000&cropX1=0&cropX2=741&cropY1=82&cropY2=823,1567.0,1513.0,1400.0,,,,
2291,Lee Ho-jin,Lee,lee-ho-jin,lee-ho-jin,3.243,59.0,diversified,Diversified,M,South Korea,1639104902515,,,1372.766,2216.0,2216.0,https://specials-images.forbesimg.com/imageserve/60b126a3557d0924ae564f27/416x416.jpg?background=000000&cropX1=95&cropX2=733&cropY1=87&cropY2=725,1568.0,1513.0,1400.0,Taekwang Industrial,False,,
2292,Lei Jufang,Lei,lei-jufang,lei-jufang,25.753,68.0,pharmaceuticals,Healthcare,F,China,1639104902515,,,2012.741,1637.0,1637.0,https://specials-images.forbesimg.com/imageserve/603e8f5d4a2df75cef4fb25a/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,1569.0,1513.0,1400.0,,,,
2293,Theodore Leonsis,Leonsis,theodore-leonsis,no-pic,-0.006,65.0,sports teams,Sports,M,United States,1639104902515,MD,Maryland,1390.038,2190.0,2190.0,//specials-images.forbesimg.com/imageserve/5c817682a7ea434b351c0059/416x416.jpg?background=000000&cropX1=0&cropX2=1728&cropY1=196&cropY2=1925,1570.0,1513.0,1400.0,,,,
2294,Li Chunan,Li,li-chunan,no-pic,18.724,53.0,renewable energy,Manufacturing,M,China,1639104902515,,,5482.963,549.0,549.0,,1571.0,1513.0,1400.0,,,,
2295,K.C. Liu,Liu,kc-liu,no-pic,-22.87,67.0,manufacturing,Technology,M,Taiwan,1639104902515,,,2677.381,1265.0,1265.0,https://specials-images.forbesimg.com/imageserve/6091c690e9fd7f0ff59d4448/416x416.jpg?background=000000&cropX1=2&cropX2=1254&cropY1=2&cropY2=1253,1572.0,1513.0,1400.0,,,,
2296,Anatoly Lomakin,Lomakin,anatoly-lomakin,anatoly-lomakin,0.0,69.0,investments,Metals & Mining,M,Russia,1639104902515,,,1425.0,2155.0,2155.0,//specials-images.forbesimg.com/imageserve/591833ed1fba28af6faa0f802f51940a/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=50&cropY2=791,1573.0,1513.0,1400.0,,,,
2297,Billy Joe (Red) McCombs,McCombs,billy-joe-red-mccombs,billy-joe-red-mccombs,0.0,94.0,"real estate, oil, cars, sports",Diversified,M,United States,1639104902515,TX,Texas,1614.032,1955.0,1955.0,//specials-images.forbesimg.com/imageserve/c1df391b52ec95ff9604ca40b9ed0222/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=21&cropY2=765,1574.0,1513.0,1400.0,,,,
2298,Willy Michel,Michel,willy-michel,willy-michel,-4.739,74.0,medical devices,Healthcare,M,Switzerland,1639104902515,,,2507.762,1348.0,1348.0,//specials-images.forbesimg.com/imageserve/5c723cfa4bbe6f51818aba88/416x416.jpg?background=000000&cropX1=42&cropX2=3300&cropY1=431&cropY2=3688,1575.0,1513.0,1400.0,,,,
2299,Massimo Moratti,Moratti,massimo-moratti,massimo-moratti,-3.926,76.0,oil refinery,Energy,M,Italy,1639104902515,,,1463.107,2109.0,2109.0,//specials-images.forbesimg.com/imageserve/5e76d7cfc7b02d000666d32d/416x416.jpg?background=000000&cropX1=47&cropX2=1761&cropY1=47&cropY2=1761,1576.0,1513.0,1400.0,,,,
2300,Toshio Motoya,Motoya,toshio-motoya,no-pic,,78.0,hotels,Service,M,Japan,1588016545564,,,,,,//specials-images.forbesimg.com/imageserve/5e76e601d8e1ae0007b726f9/416x416.jpg?background=000000&cropX1=183&cropX2=2744&cropY1=153&cropY2=2714,1577.0,1513.0,1400.0,,,,
2301,Patrice Motsepe,Motsepe,patrice-motsepe,patrice-motsepe,3.371,59.0,mining,Metals & Mining,M,South Africa,1639104902515,,,2552.915,1329.0,1329.0,//specials-images.forbesimg.com/imageserve/5e77ad2cd8e1ae0007b73263/416x416.jpg?background=000000&cropX1=1014&cropX2=3703&cropY1=21&cropY2=2710,1578.0,1513.0,1400.0,,,,
2302,Eugene Murtagh,Murtagh,eugene-murtagh,no-pic,-13.778,79.0,building materials,Manufacturing,M,Ireland,1639104902515,,,3388.741,975.0,975.0,,1579.0,1513.0,1400.0,,,,
2303,Marius Nacht,Nacht,marius-nacht,marius-nacht,-2.659,55.0,software,Technology,M,Israel,1639104902515,,,1472.888,2101.0,2101.0,//specials-images.forbesimg.com/imageserve/5c70c6f94bbe6f79c5474094/416x416.jpg?background=000000&cropX1=0&cropX2=1275&cropY1=180&cropY2=1456,1580.0,1513.0,1400.0,,,,
2304,Nandan Nilekani,Nilekani,nandan-nilekani,nandan-nilekani,13.047,66.0,software services,Technology,M,India,1639104902515,,,3359.743,985.0,985.0,//specials-images.forbesimg.com/imageserve/5e7696f910380d0006fbb539/416x416.jpg?background=000000&cropX1=980&cropX2=2384&cropY1=1081&cropY2=2484,1581.0,1513.0,1400.0,,,,
2305,Eren Ozmen,Ozmen,eren-ozmen,eren-ozmen,0.0,63.0,aerospace,Manufacturing,F,United States,1639104902515,NV,Nevada,1400.0,2175.0,2175.0,https://specials-images.forbesimg.com/imageserve/60aed2cd5eb4550111f94d8c/416x416.jpg?background=000000&cropX1=2&cropX2=1080&cropY1=0&cropY2=1078,1582.0,1513.0,1400.0,,,,
2306,Fatih Ozmen,Ozmen,fatih-ozmen,no-pic,0.0,63.0,aerospace,Manufacturing,M,United States,1639104902515,NV,Nevada,1380.0,2206.0,2207.0,//specials-images.forbesimg.com/imageserve/5a9f218d31358e79a28b2d7f/416x416.jpg?background=000000&cropX1=0&cropX2=2472&cropY1=89&cropY2=2559,1583.0,1513.0,1400.0,,,,
2307,Ajay Parekh,Parekh,ajay-parekh,no-pic,29.445,64.0,adhesives,Manufacturing,M,India,1639104902515,,,2049.026,1604.0,1604.0,,1584.0,1513.0,1400.0,,,,
2308,Narendrakumar Parekh,Parekh,narendrakumar-parekh,no-pic,29.183,83.0,adhesives,Manufacturing,M,India,1639104902515,,,2079.346,1593.0,1593.0,,1585.0,1513.0,1400.0,,,,
